#RESOURCE=yCat_36560049
#Name: J/A+A/656/A49
#Title: Decoding the morphological evolution of open clusters (Hu+, 2021)
#Table	J_A_A_656_A49_table1:
#Name: J/A+A/656/A49/table1
#Title: The parameters of 1256 open clusters
#Column	Cluster	(a18)	Cluster name	[ucd=meta.id;meta.main]
#Column	ecore	(F7.4)	Ellipticity of the core	[ucd=src.ellipticity]
#Column	e_ecore	(F7.4)	Error corresponding to ellipticity of the core	[ucd=stat.error]
#Column	qcore	(F8.4)	Orientation of the core	[ucd=pos.posAng]
#Column	eall	(F7.4)	Ellipticity of the overall	[ucd=src.ellipticity]
#Column	e_eall	(F7.4)	Error corresponding to ellipticity of the overall	[ucd=stat.error]
#Column	qall	(F8.4)	Orientation of the overall	[ucd=pos.posAng]
#Column	acore	(F7.4)	Half-length axes of the core	[ucd=phys.angSize]
#Column	e_acore	(F7.4)	Error corresponding to half-length axes of the core	[ucd=stat.error]
#Column	ccore	(F7.4)	Half-short axes of the core	[ucd=phys.angSize;src]
#Column	e_ccore	(F7.4)	Error corresponding to half-short axes of the core	[ucd=stat.error]
#Column	aall	(F7.4)	Half-length axes of the overall	[ucd=phys.angSize]
#Column	e_aall	(F7.4)	Error corresponding to half-length axes of the overall	[ucd=stat.error]
#Column	call	(F7.4)	Half-short axes of the overall	[ucd=phys.angSize;src]
#Column	e_call	(F7.4)	Error corresponding to half-short axes of the overall	[ucd=stat.error]
#Column	epm	(F7.4)	Ellipticity in proper motion	[ucd=src.ellipticity]
#Column	e_epm	(F7.4)	Error of ellipticity in proper motion	[ucd=stat.error]
#Column	qpm	(F8.4)	Orientation in proper motion	[ucd=pos.pm;pos.posAng]
#
Cluster           ;ecore  ;e_ecore;qcore   ;eall   ;e_eall ;qall    ;acore  ;e_acore;ccore  ;e_ccore;aall   ;e_aall ;call   ;e_call ;epm    ;e_epm  ;qpm
Alessi_Teutsch_11 ; 0.1794; 0.0319;-51.7235; 0.1365; 0.1951;-48.4883; 0.2257; 0.0056; 0.1852; 0.0056; 0.6859; 0.1013; 0.5923; 0.1013; 0.1609; 0.1448; 75.0638
Alessi_Teutsch_12 ; 0.3799; 0.0186;-18.9569; 0.2407; 0.0978;-26.1331; 0.7275; 0.0115; 0.4511; 0.0115; 2.0936; 0.1631; 1.5897; 0.1631; 0.2214; 0.1541;-78.2344
Alessi_Teutsch_3  ; 0.1858; 0.0271;  3.6475; 0.2851; 0.0999;  3.7960; 0.3945; 0.0083; 0.3212; 0.0083; 1.3836; 0.1124; 0.9891; 0.1124; 0.0297; 0.2694;-43.9614
Alessi_Teutsch_5  ; 0.5947; 0.2995; -6.5877; 0.2380; 0.0635; -5.6411; 0.4440; 0.1233; 0.1800; 0.1233; 0.9750; 0.0493; 0.7429; 0.0493; 0.1490; 0.0519;-25.6161
Alessi_Teutsch_8  ; 0.0984; 0.0390;-38.2967; 0.1610; 0.1065;-31.1005; 0.2102; 0.0061; 0.1895; 0.0061; 0.7541; 0.0615; 0.6326; 0.0615; 0.0768; 0.0756; 21.8557
Antalova_2        ; 0.1780; 0.0234; 53.6607; 0.3065; 0.1017; 11.5475; 0.0757; 0.0014; 0.0622; 0.0014; 0.2214; 0.0185; 0.1536; 0.0185; 0.1886; 0.1217;-22.6392
Arp_Madore_2      ; 0.1406; 0.0289; 55.3960; 0.2379; 0.0871; 84.2601; 0.0411; 0.0009; 0.0353; 0.0009; 0.1399; 0.0097; 0.1066; 0.0097; 0.1000; 0.1469; -3.3676
Auner_1           ; 0.2462; 0.0147;-22.0111; 0.2921; 0.0781;-14.1205; 0.0315; 0.0004; 0.0237; 0.0004; 0.1128; 0.0072; 0.0799; 0.0072; 0.2807; 0.2498;-31.4996
Aveni_Hunter_1    ; 0.2651; 0.0509; 74.1836; 0.3112; 0.1076;-71.4927; 0.4900; 0.0201; 0.3601; 0.0201; 1.3050; 0.1157; 0.8989; 0.1157; 0.2110; 0.0820; 47.5808
BDSB91            ; 0.4653; 0.0191;-73.3733; 0.5046; 0.1233;-79.7046; 0.0399; 0.0007; 0.0213; 0.0007; 0.1221; 0.0135; 0.0605; 0.0135; 0.4443; 0.2848;-49.7941
BDSB93            ; 0.1797; 0.0195;-28.7538; 0.1035; 0.1042;-71.1042; 0.0353; 0.0005; 0.0289; 0.0005; 0.1011; 0.0078; 0.0906; 0.0078; 0.0436; 0.2000; 41.5842
BDSB96            ; 0.2064; 0.0124;  0.2683; 0.1020; 0.3184; 77.1971; 0.0494; 0.0005; 0.0392; 0.0005; 0.1762; 0.0417; 0.1582; 0.0417; 0.1121; 0.1428; 39.5953
